insertion
1000, 0.000518
2000, 0.002093
3000, 0.004765
4000, 0.008219
5000, 0.013058
6000, 0.018612
7000, 0.025872
8000, 0.033717
9000, 0.041945
10000, 0.051641
11000, 0.062970
12000, 0.074481
13000, 0.088875
14000, 0.102486
15000, 0.117044
16000, 0.130445
17000, 0.147295
18000, 0.165522
19000, 0.188871
20000, 0.209735
21000, 0.232870
22000, 0.253986
23000, 0.279813
24000, 0.300547
25000, 0.325322
26000, 0.350929
27000, 0.380400
28000, 0.409415
29000, 0.437627
30000, 0.470720
31000, 0.496649
32000, 0.534350
33000, 0.567666
34000, 0.615038
35000, 0.638381
36000, 0.671433
37000, 0.726086
38000, 0.765145
39000, 0.803243
40000, 0.845674
41000, 0.918843
42000, 0.937062
43000, 0.985016
44000, 1.019115
45000, 1.095252
46000, 1.184386
47000, 1.183456
48000, 1.346736
49000, 1.273828
50000, 1.352452
51000, 1.393806
52000, 1.448786
53000, 1.497068
54000, 1.558884
55000, 1.631212
56000, 1.706591
57000, 1.828982
58000, 1.791030
59000, 1.909699
60000, 1.971468
61000, 2.023463
62000, 2.033457
63000, 2.110730
64000, 2.258504
65000, 2.242952
66000, 2.333986
67000, 2.438004
68000, 2.478968
69000, 2.623015
70000, 2.721183
71000, 2.786960
72000, 2.864948
73000, 2.893830
74000, 2.990866
75000, 3.158468
76000, 3.206081
77000, 3.215806
78000, 3.381700
79000, 3.521983
80000, 3.589647
81000, 3.529467
82000, 3.597047
83000, 3.687282
84000, 3.799878
85000, 3.862953
86000, 4.016279
87000, 4.147464
88000, 4.463524
89000, 4.585560
90000, 4.407869
91000, 4.423448
92000, 4.556298
93000, 4.607084
94000, 4.806500
95000, 5.098500
96000, 5.291619
97000, 5.731098
98000, 5.547440
99000, 5.832883
100000, 6.218949
